date,TMAX,WDF2,WSF2
2020-01-01T00:00:00,-5,210,72
2020-01-02T00:00:00,-16,220,89
2020-01-03T00:00:00,-21,240,45
2020-01-04T00:00:00,11,210,107
2020-01-05T00:00:00,-32,210,76
2020-01-06T00:00:00,-5,220,89
2020-01-07T00:00:00,0,80,40
2020-01-08T00:00:00,0,220,89
2020-01-09T00:00:00,-16,230,67
2020-01-10T00:00:00,-49,180,76
2020-01-11T00:00:00,-27,180,58
2020-01-12T00:00:00,-27,220,112
2020-01-13T00:00:00,-21,210,116
2020-01-14T00:00:00,-16,240,116
2020-01-15T00:00:00,-55,220,103
2020-01-16T00:00:00,6,60,40
2020-01-17T00:00:00,11,200,103
2020-01-18T00:00:00,-10,40,31
2020-01-19T00:00:00,-10,50,36
2020-01-20T00:00:00,0,60,36
2020-01-21T00:00:00,39,200,72
2020-01-22T00:00:00,17,240,112
2020-01-23T00:00:00,-5,50,22
2020-01-24T00:00:00,6,210,31
2020-01-25T00:00:00,11,210,40
2020-01-26T00:00:00,11,210,54
2020-01-27T00:00:00,6,200,81
2020-01-28T00:00:00,-10,250,36
2020-01-29T00:00:00,-16,240,67
2020-01-30T00:00:00,-21,250,40
2020-01-31T00:00:00,-5,190,45
2020-02-01T00:00:00,39,30,31
2020-02-02T00:00:00,50,30,81
2020-02-03T00:00:00,-27,30,116
2020-02-04T00:00:00,-82,210,63
2020-02-05T00:00:00,-71,200,45
2020-02-06T00:00:00,-32,70,36
2020-02-07T00:00:00,6,210,45
2020-02-08T00:00:00,28,220,107
2020-02-09T00:00:00,-38,210,54
2020-02-10T00:00:00,-21,30,45
2020-02-11T00:00:00,-43,40,40
2020-02-12T00:00:00,-10,240,40
2020-02-13T00:00:00,-21,80,31
2020-02-14T00:00:00,-5,210,45
2020-02-15T00:00:00,-21,260,45
2020-02-16T00:00:00,6,250,63
2020-02-17T00:00:00,-21,70,40
2020-02-18T00:00:00,-27,40,36
2020-02-19T00:00:00,-60,60,40
2020-02-20T00:00:00,-43,30,31
2020-02-21T00:00:00,-27,60,36
2020-02-22T00:00:00,0,20,31
2020-02-23T00:00:00,-5,10,89
2020-02-24T00:00:00,0,200,67
2020-02-25T00:00:00,-32,240,36
2020-02-26T00:00:00,-5,30,40
2020-02-27T00:00:00,6,60,40
2020-02-28T00:00:00,33,60,40
2020-02-29T00:00:00,56,200,98
2020-03-01T00:00:00,33,360,63
2020-03-02T00:00:00,-10,230,81
2020-03-03T00:00:00,28,240,58
2020-03-04T00:00:00,50,230,67
2020-03-05T00:00:00,67,60,45
2020-03-06T00:00:00,111,190,45
2020-03-07T00:00:00,100,190,76
2020-03-08T00:00:00,61,200,94
2020-03-09T00:00:00,50,200,63
2020-03-10T00:00:00,56,210,63
2020-03-11T00:00:00,83,210,54
2020-03-12T00:00:00,44,40,63
2020-03-13T00:00:00,61,60,40
2020-03-14T00:00:00,50,190,89
2020-03-15T00:00:00,67,220,103
2020-03-16T00:00:00,83,50,45
2020-03-17T00:00:00,111,240,89
2020-03-18T00:00:00,72,240,63
2020-03-19T00:00:00,100,30,63
2020-03-20T00:00:00,94,50,54
2020-03-21T00:00:00,72,200,40
2020-03-22T00:00:00,106,200,81
2020-03-23T00:00:00,111,270,103
2020-03-24T00:00:00,100,240,139
2020-03-25T00:00:00,78,240,134
2020-03-26T00:00:00,50,250,67
2020-03-27T00:00:00,50,200,54
2020-03-28T00:00:00,83,210,76
2020-03-29T00:00:00,89,220,81
2020-03-30T00:00:00,111,240,116
2020-03-31T00:00:00,94,220,134
2020-04-01T00:00:00,33,200,72
2020-04-02T00:00:00,28,240,67
2020-04-03T00:00:00,61,190,89
2020-04-04T00:00:00,111,240,98
2020-04-05T00:00:00,111,180,98
2020-04-06T00:00:00,106,210,94
2020-04-07T00:00:00,150,240,98
2020-04-08T00:00:00,167,200,67
2020-04-09T00:00:00,206,50,67
2020-04-10T00:00:00,183,210,103
2020-04-11T00:00:00,144,10,125
2020-04-12T00:00:00,33,20,81
2020-04-13T00:00:00,39,360,76
2020-04-14T00:00:00,83,270,81
2020-04-15T00:00:00,83,10,107
2020-04-16T00:00:00,72,30,107
2020-04-17T00:00:00,111,230,81
2020-04-18T00:00:00,150,240,63
2020-04-19T00:00:00,156,30,63
2020-04-20T00:00:00,178,230,63
2020-04-21T00:00:00,194,270,81
2020-04-22T00:00:00,183,210,125
2020-04-23T00:00:00,144,270,130
2020-04-24T00:00:00,139,270,76
2020-04-25T00:00:00,172,230,89
2020-04-26T00:00:00,200,210,103
2020-04-27T00:00:00,183,210,76
2020-04-28T00:00:00,206,210,76
2020-04-29T00:00:00,250,240,76
2020-04-30T00:00:00,211,200,112
2020-05-01T00:00:00,178,190,76
2020-05-02T00:00:00,211,230,81
2020-05-03T00:00:00,167,200,139
2020-05-04T00:00:00,167,220,98
2020-05-05T00:00:00,200,270,58
2020-05-06T00:00:00,222,230,197
2020-05-07T00:00:00,156,10,63
2020-05-08T00:00:00,194,20,103
2020-05-09T00:00:00,200,70,63
2020-05-10T00:00:00,233,50,72
2020-05-11T00:00:00,244,30,81
2020-05-12T00:00:00,194,240,139
2020-05-13T00:00:00,172,240,134
2020-05-14T00:00:00,150,200,81
2020-05-15T00:00:00,156,270,125
2020-05-16T00:00:00,189,250,54
2020-05-17T00:00:00,261,240,89
2020-05-18T00:00:00,239,230,170
2020-05-19T00:00:00,239,240,130
2020-05-20T00:00:00,150,240,125
2020-05-21T00:00:00,144,210,130
2020-05-22T00:00:00,111,210,76
2020-05-23T00:00:00,72,230,67
2020-05-24T00:00:00,156,10,45
2020-05-25T00:00:00,206,220,76
2020-05-26T00:00:00,222,210,98
2020-05-27T00:00:00,239,220,67
2020-05-28T00:00:00,272,240,76
2020-05-29T00:00:00,311,170,103
2020-05-30T00:00:00,311,240,107
2020-05-31T00:00:00,250,200,112
2020-06-01T00:00:00,272,240,107
2020-06-02T00:00:00,250,210,81
2020-06-03T00:00:00,261,230,143
2020-06-04T00:00:00,261,200,125
2020-06-05T00:00:00,322,200,94
2020-06-06T00:00:00,233,210,174
2020-06-07T00:00:00,139,200,94
2020-06-08T00:00:00,122,200,116
2020-06-09T00:00:00,178,190,94
2020-06-10T00:00:00,239,200,76
2020-06-11T00:00:00,289,200,72
2020-06-12T00:00:00,317,200,103
2020-06-13T00:00:00,256,230,112
2020-06-14T00:00:00,172,210,125
2020-06-15T00:00:00,228,200,89
2020-06-16T00:00:00,161,230,81
2020-06-17T00:00:00,100,200,112
2020-06-18T00:00:00,194,40,36
2020-06-19T00:00:00,228,200,67
2020-06-20T00:00:00,233,240,67
2020-06-21T00:00:00,244,220,67
2020-06-22T00:00:00,267,220,54
2020-06-23T00:00:00,294,230,58
2020-06-24T00:00:00,311,220,76
2020-06-25T00:00:00,239,180,58
2020-06-26T00:00:00,289,200,67
2020-06-27T00:00:00,311,210,98
2020-06-28T00:00:00,183,160,89
2020-06-29T00:00:00,139,200,94
2020-06-30T00:00:00,172,230,103
2020-07-01T00:00:00,233,240,116
2020-07-02T00:00:00,250,200,67
2020-07-03T00:00:00,294,270,76
2020-07-04T00:00:00,306,220,76
2020-07-05T00:00:00,294,210,89
2020-07-06T00:00:00,306,210,72
2020-07-07T00:00:00,267,210,143
2020-07-08T00:00:00,250,200,94
2020-07-09T00:00:00,289,200,89
2020-07-10T00:00:00,283,200,107
2020-07-11T00:00:00,317,190,67
2020-07-12T00:00:00,306,210,134
2020-07-13T00:00:00,278,200,125
2020-07-14T00:00:00,256,160,54
2020-07-15T00:00:00,278,240,67
2020-07-16T00:00:00,300,200,81
2020-07-17T00:00:00,344,210,89
2020-07-18T00:00:00,289,180,72
2020-07-19T00:00:00,294,190,63
2020-07-20T00:00:00,294,80,45
2020-07-21T00:00:00,317,240,72
2020-07-22T00:00:00,267,200,94
2020-07-23T00:00:00,294,130,76
2020-07-24T00:00:00,289,180,76
2020-07-25T00:00:00,311,360,89
2020-07-26T00:00:00,317,220,40
2020-07-27T00:00:00,339,210,54
2020-07-28T00:00:00,211,180,89
2020-07-29T00:00:00,300,10,98
2020-07-30T00:00:00,328,70,40
2020-07-31T00:00:00,356,70,58
2020-08-01T00:00:00,367,60,67
2020-08-02T00:00:00,361,180,40
2020-08-03T00:00:00,328,190,81
2020-08-04T00:00:00,311,230,58
2020-08-05T00:00:00,333,180,81
2020-08-06T00:00:00,328,30,94
2020-08-07T00:00:00,294,200,98
2020-08-08T00:00:00,300,200,81
2020-08-09T00:00:00,306,200,94
2020-08-10T00:00:00,294,190,67
2020-08-11T00:00:00,311,200,81
2020-08-12T00:00:00,306,230,125
2020-08-13T00:00:00,294,200,125
2020-08-14T00:00:00,283,240,72
2020-08-15T00:00:00,306,220,63
2020-08-16T00:00:00,350,220,54
2020-08-17T00:00:00,356,190,54
2020-08-18T00:00:00,333,160,72
2020-08-19T00:00:00,328,50,94
2020-08-20T00:00:00,306,200,94
2020-08-21T00:00:00,300,200,54
2020-08-22T00:00:00,322,190,67
2020-08-23T00:00:00,311,210,36
2020-08-24T00:00:00,311,170,67
2020-08-25T00:00:00,317,250,143
2020-08-26T00:00:00,306,310,81
2020-08-27T00:00:00,278,90,58
2020-08-28T00:00:00,289,250,45
2020-08-29T00:00:00,306,200,98
2020-08-30T00:00:00,261,200,107
2020-08-31T00:00:00,133,190,54
2020-09-01T00:00:00,217,190,67
2020-09-02T00:00:00,289,200,103
2020-09-03T00:00:00,306,210,63
2020-09-04T00:00:00,317,260,40
2020-09-05T00:00:00,344,240,76
2020-09-06T00:00:00,311,200,63
2020-09-07T00:00:00,256,NA,NA
2020-09-08T00:00:00,150,30,157
2020-09-09T00:00:00,228,30,89
2020-09-10T00:00:00,233,200,54
2020-09-11T00:00:00,250,200,67
2020-09-12T00:00:00,278,240,63
2020-09-13T00:00:00,272,240,40
2020-09-14T00:00:00,294,240,67
2020-09-15T00:00:00,289,210,58
2020-09-16T00:00:00,272,220,40
2020-09-17T00:00:00,300,220,36
2020-09-18T00:00:00,261,200,54
2020-09-19T00:00:00,183,250,116
2020-09-20T00:00:00,189,240,63
2020-09-21T00:00:00,250,260,40
2020-09-22T00:00:00,272,230,76
2020-09-23T00:00:00,256,210,76
2020-09-24T00:00:00,261,220,134
2020-09-25T00:00:00,200,230,116
2020-09-26T00:00:00,189,210,112
2020-09-27T00:00:00,167,20,63
2020-09-28T00:00:00,183,60,45
2020-09-29T00:00:00,222,250,54
2020-09-30T00:00:00,244,190,40
2020-10-01T00:00:00,239,220,58
2020-10-02T00:00:00,228,230,54
2020-10-03T00:00:00,244,220,40
2020-10-04T00:00:00,233,190,72
2020-10-05T00:00:00,228,200,58
2020-10-06T00:00:00,239,200,63
2020-10-07T00:00:00,239,270,45
2020-10-08T00:00:00,244,210,89
2020-10-09T00:00:00,228,240,63
2020-10-10T00:00:00,222,230,130
2020-10-11T00:00:00,139,240,125
2020-10-12T00:00:00,172,230,143
2020-10-13T00:00:00,183,220,148
2020-10-14T00:00:00,139,240,76
2020-10-15T00:00:00,117,290,67
2020-10-16T00:00:00,150,230,107
2020-10-17T00:00:00,194,240,125
2020-10-18T00:00:00,172,230,116
2020-10-19T00:00:00,150,210,116
2020-10-20T00:00:00,139,210,98
2020-10-21T00:00:00,144,230,148
2020-10-22T00:00:00,56,360,72
2020-10-23T00:00:00,83,200,98
2020-10-24T00:00:00,89,30,112
2020-10-25T00:00:00,-10,20,98
2020-10-26T00:00:00,-10,200,45
2020-10-27T00:00:00,50,60,36
2020-10-28T00:00:00,106,200,45
2020-10-29T00:00:00,133,240,63
2020-10-30T00:00:00,183,210,107
2020-10-31T00:00:00,122,230,63
2020-11-01T00:00:00,161,50,36
2020-11-02T00:00:00,189,40,31
2020-11-03T00:00:00,189,220,63
2020-11-04T00:00:00,194,220,72
2020-11-05T00:00:00,194,200,81
2020-11-06T00:00:00,217,200,103
2020-11-07T00:00:00,183,230,125
2020-11-08T00:00:00,44,230,94
2020-11-09T00:00:00,-16,220,81
2020-11-10T00:00:00,-16,210,89
2020-11-11T00:00:00,0,240,81
2020-11-12T00:00:00,-21,200,67
2020-11-13T00:00:00,17,220,112
2020-11-14T00:00:00,22,240,125
2020-11-15T00:00:00,28,220,89
2020-11-16T00:00:00,39,210,67
2020-11-17T00:00:00,106,210,36
2020-11-18T00:00:00,100,210,94
2020-11-19T00:00:00,61,230,125
2020-11-20T00:00:00,44,50,54
2020-11-21T00:00:00,22,220,40
2020-11-22T00:00:00,50,70,54
2020-11-23T00:00:00,22,230,58
2020-11-24T00:00:00,0,220,40
2020-11-25T00:00:00,28,220,81
2020-11-26T00:00:00,-27,200,67
2020-11-27T00:00:00,-16,60,36
2020-11-28T00:00:00,-21,70,58
2020-11-29T00:00:00,-16,60,40
2020-12-01T00:00:00,-10,210,63
2020-12-02T00:00:00,0,70,45
2020-12-03T00:00:00,-21,60,27
2020-12-04T00:00:00,0,30,31
2020-12-05T00:00:00,33,20,36
2020-12-06T00:00:00,28,90,31
2020-12-07T00:00:00,17,170,36
2020-12-08T00:00:00,22,40,27
2020-12-09T00:00:00,28,200,36
2020-12-10T00:00:00,6,200,40
2020-12-11T00:00:00,-16,220,76
2020-12-12T00:00:00,-49,220,54
2020-12-13T00:00:00,-43,50,36
2020-12-14T00:00:00,-38,200,54
2020-12-15T00:00:00,-38,230,45
2020-12-16T00:00:00,-21,240,36
2020-12-17T00:00:00,6,240,40
2020-12-18T00:00:00,-10,220,76
2020-12-19T00:00:00,-16,230,63
2020-12-20T00:00:00,28,210,94
2020-12-21T00:00:00,33,30,36
2020-12-22T00:00:00,56,210,170
2020-12-23T00:00:00,-55,20,36
2020-12-24T00:00:00,-38,40,31
2020-12-25T00:00:00,-32,10,36
2020-12-26T00:00:00,-10,250,40
2020-12-27T00:00:00,-21,200,72
2020-12-28T00:00:00,-60,40,36
2020-12-29T00:00:00,-88,70,36
2020-12-30T00:00:00,-82,50,27
2020-12-31T00:00:00,-21,30,31
